Index, Adresse_complète                                                          , Auteur                                     , Date              , Note, Commentaire                                                                                                                                                                                                                                                                                                             , lat    , lng    , Ville
1    , Gendarmerie Nationale 31 bld du Maréchal Leclerc 85000 LA ROCHE SUR YON   , Noémie Bauriey                             , il y a 7 mois     , 5   , Trs bon accueil gendarme  lcoute et bienveillant qui sait dire les choses sans brusque de manire honnte trs polis merci pour votre travail                                                                                                                                                                              ,        ,        , LA ROCHE SUR YON
2    , Gendarmerie Nationale 31 bld du Maréchal Leclerc 85000 LA ROCHE SUR YON   , morgan jourdain                            , il y a 9 mois     , 5   ,                                                                                                                                                                                                                                                                                                                         ,        ,        , LA ROCHE SUR YON
3    , Gendarmerie Nationale 31 bld du Maréchal Leclerc 85000 LA ROCHE SUR YON   , Isabelle Rioul                             , il y a 11 mois    , 1   , Ce lieu est ferm au public manifestement                                                                                                                                                                                                                                                                                ,        ,        , LA ROCHE SUR YON
4    , Gendarmerie Nationale 31 bld du Maréchal Leclerc 85000 LA ROCHE SUR YON   , jean estrienafoutre                        , il y a un an      , 5   , Contact tlphonique avec Aurelie pendant que jtais enfermer dans un supermarch Super cool merci de mavoir tenue compagnie pendant ce moment un peu stressant Si je passe dans le coin je ramnerais des biere  la brigade                                                                                                 ,        ,        , LA ROCHE SUR YON
5    , Gendarmerie Nationale 31 bld du Maréchal Leclerc 85000 LA ROCHE SUR YON   , Keilly DJY                                 , il y a un an      , 4   , Accueil trs chaleureux malgr les cellules peu spacieuses on arrive quand mme  sendormir Le personnel pense  vous ramener une couverture quand vous nen avez pas et je pense que cest un plus Cela dit la nourriture au petit dej                                                                                        ,        ,        , LA ROCHE SUR YON
1    , Gendarmerie Nationale 16 rue de Signeulx 41000 BLOIS                      , Gygyvg Uvvkvc                              , il y a 10 mois    , 1   ,                                                                                                                                                                                                                                                                                                                         ,        ,        , BLOIS
2    , Gendarmerie Nationale 16 rue de Signeulx 41000 BLOIS                      , Stbann                                     , il y a 2 ans      , 5   , Trs agrable les GAV sont trs confortable                                                                                                                                                                                                                                                                                ,        ,        , BLOIS
1    , Gendarmerie Nationale 102 av du général Leclerc 54000 NANCY               , marie simonin                              , il y a un an      , 1   , Refus dassistance auprs de un animal percutAucune considration face  un animal en grande souffranceNous avons trouv en ce dimanche un pauvre chat visiblement percut ayant pass                                                                                                                                         , 48.6936, 6.1846 , NANCY
2    , Gendarmerie Nationale 102 av du général Leclerc 54000 NANCY               , Lorenzo Krzywanski                         , il y a un an      , 1   , Incomptence au plus haut point Refus de prise en charge dun animal accident et abandonn depuis la nuit                                                                                                                                                                                                                  , 48.6936, 6.1846 , NANCY
1    , Gendarmerie Nationale 8 rue du professeur Roux 88000 EPINAL               , AD TV                                      , il y a 8 mois     , 5   , Cellule niquel je recommande fort                                                                                                                                                                                                                                                                                       ,        ,        , EPINAL
