Index;Adresse;Auteur;Date;Note;Commentaire
3;Gendarmerie Nationale 2 rue du Colonel Arnaud Beltrame 56000 VANNES;Jardin Naturel;il y a un an;4;
4;Gendarmerie Nationale 2 rue du Colonel Arnaud Beltrame 56000 VANNES;Paul Nestour;il y a 2 ans;1;
5;Gendarmerie Nationale 2 rue du Colonel Arnaud Beltrame 56000 VANNES;Yeut;il y a 2 ans;5;
1;Gendarmerie Nationale 1 av Jean Moulin 90000 BELFORT;Nezha Vlogs;il y a 8 mois;1;Plainte depose pour violence conjugale avec preuve  message vocale ecrite certificat medical temoin jamais de suite a fait bientot un an
2;Gendarmerie Nationale 1 av Jean Moulin 90000 BELFORT;FolieStreet Paris;il y a un an;1;
3;Gendarmerie Nationale 1 av Jean Moulin 90000 BELFORT;Malric Suso;il y a un an;5;
4;Gendarmerie Nationale 1 av Jean Moulin 90000 BELFORT;PIerre Z�ller;il y a un an;1;
5;Gendarmerie Nationale 1 av Jean Moulin 90000 BELFORT;Fat Fant�me;il y a 2 ans;5;
6;Gendarmerie Nationale 1 av Jean Moulin 90000 BELFORT;Dreux nicolas;il y a 2 ans;1;Ils Refusent de prendre les plaintes Prenez des avocats et la magie opere  leurs comportements changent ensuite Surtout pas d avocat commis doffice li  leurs services votre risque de condamnation serait doubler
1;Gendarmerie Nationale 307 av Eole 83160 LA VALETTE DU VAR;meriem polo;il y a 2 ans;5;Surprise pour la la politesse de gendarme catgorie  femme fait bon travail b continuationMerciMeriem
2;Gendarmerie Nationale 307 av Eole 83160 LA VALETTE DU VAR;Priscilla Rodriguez;il y a 2 ans;5;
5;Gendarmerie Nationale 4 rue Claude Bernard 92130 ISSY-LES-MOULINEAUX;Marinette pseudonyme Trevette �om naissance;il y a 11 mois;5;
6;Gendarmerie Nationale 4 rue Claude Bernard 92130 ISSY-LES-MOULINEAUX;Frood97-IDF.92;il y a un an;5;
9;Gendarmerie Nationale 4 rue Claude Bernard 92130 ISSY-LES-MOULINEAUX;susan tran;il y a un an;1;
10;Gendarmerie Nationale 4 rue Claude Bernard 92130 ISSY-LES-MOULINEAUX;lol riende;il y a un an;1;
1;Gendarmerie Nationale 43 rue du Mar�chal Leclerc 28110 LUCE;jessofplay;il y a 8 mois;5;
2;Gendarmerie Nationale 43 rue du Mar�chal Leclerc 28110 LUCE;Lucie Salmon;il y a un an;5;
3;Gendarmerie Nationale 43 rue du Mar�chal Leclerc 28110 LUCE;Vincent Rousseau;il y a un an;5;
1;Gendarmerie Nationale 1 Av de l�Europe 12000 RODEZ;Enzo D'agostino;il y a 10 mois;1;
2;Gendarmerie Nationale 1 Av de l�Europe 12000 RODEZ;Remi Villar;il y a un an;3;
3;Gendarmerie Nationale 1 Av de l�Europe 12000 RODEZ;Joaquim;il y a un an;2;
4;Gendarmerie Nationale 1 Av de l�Europe 12000 RODEZ;Fallingg. y;il y a 2 ans;5;
1;Gendarmerie Nationale 11bis rue Jean Malezieux 91000 EVRY;Inconnu Inconnu;il y a un an;1;J appelle les gendarmes  3h00 du matin pour un tapage nocturne et un regroupement d une cinquantaine de fetards bruyant et alcoolises pendant le couvre feu Le gendarme me repond qu il ne peux pas intervenir et que je n ai qu a  faire baisser le bruit moi meme  Quelle HONTE Pauvre France
1;Gendarmerie Nationale 5bis bld Saint-Jean 60000 BEAUVAIS;lily bellule;il y a 2 ans;4;Merci  la personne que l on a eu vendredi midi qui a su voir contacter la police du 59 et les pompiers car nous tant dans Oise on n arrivait pas  les contacter la personne  t emmene au urgence grce  votre intervention
2;Gendarmerie Nationale 5bis bld Saint-Jean 60000 BEAUVAIS;Mohamed Zerouali;il y a 2 ans;5;
1;Gendarmerie Nationale 15 rue de la botte 19000 TULLE;Lena Mar;il y a 2 ans;5;Super professionnels et accueil telephonique tres sympathique merci beaucoup Une question pour deplacement covid la preuve qu  ils sont comprehensifs et humains quand on  explique la situation  Encore merci et bravo
2;Gendarmerie Nationale 15 rue de la botte 19000 TULLE;berlingoLife M;il y a 2 ans;5;
3;Gendarmerie Nationale 15 rue de la botte 19000 TULLE;Marie-claire Mechaussie;il y a 2 ans;3;
4;Gendarmerie Nationale 15 rue de la botte 19000 TULLE;Thomas STAUB;il y a 2 ans;4;
1;Gendarmerie Nationale 58 bld Bertran de Born 24000 PERIGUEUX;Mo Lang;il y a 9 mois;1;c est inadmissible de vous appeler et a  chaque fois aucun dplacement de votre part.  On vous attend pendant des heures mais rien Et ca fait au moins 10 fois sur le meme secteur que je vous appelle pour ce mme genre de probleme
2;Gendarmerie Nationale 58 bld Bertran de Born 24000 PERIGUEUX;L�ana Falaise;il y a un an;1;
1;Gendarmerie Nationale 200 rue Juda�que 33000 BORDEAUX;Imer Cesmoi;il y a 6 mois;1;
2;Gendarmerie Nationale 200 rue Juda�que 33000 BORDEAUX;Charles Andr�;il y a un an;1;le site appele  partir du numro affiche sur internet a chang on nous indique  consultez votre annuaire Merci  personne na plus dannuaire il aurait t plus efficace de la part dun service public de donner le nouveau numero et de changer celui indique sur le site internet 
3;Gendarmerie Nationale 200 rue Juda�que 33000 BORDEAUX;chris vian;il y a un an;1;
4;Gendarmerie Nationale 200 rue Juda�que 33000 BORDEAUX;R�amy Pesque;il y a un an;5;
5;Gendarmerie Nationale 200 rue Juda�que 33000 BORDEAUX;Alexis Bolle;il y a un an;1;
6;Gendarmerie Nationale 200 rue Juda�que 33000 BORDEAUX;Marin Dufraisse;il y a 2 ans;5;
1;Gendarmerie Nationale 1 rue du Mar�chal Juin 70000 VESOUL;David Collilieux;il y a 2 ans;5;
1;Gendarmerie Nationale 33 av de la plaine 74000 ANNECY;Valentin BR;il y a un an;5;
2;Gendarmerie Nationale 33 av de la plaine 74000 ANNECY;Danielle FROCHOT;il y a un an;5;
3;Gendarmerie Nationale 33 av de la plaine 74000 ANNECY;Lo Renzo;il y a un an;5;
4;Gendarmerie Nationale 33 av de la plaine 74000 ANNECY;Aurelie Vid.;il y a un an;1;Attention Ne valide pas les procurations Je me suis deplace pour rien
5;Gendarmerie Nationale 33 av de la plaine 74000 ANNECY;Sa SaGiu;il y a 2 ans;5;
6;Gendarmerie Nationale 33 av de la plaine 74000 ANNECY;K�vin;il y a 2 ans;5;
7;Gendarmerie Nationale 33 av de la plaine 74000 ANNECY;viviane mouflier;il y a 2 ans;2;
1;Gendarmerie Nationale 16 rue Claude Odde 42000 SAINT-ETIENNE;corentin clain;il y a un an;4;
1;Gendarmerie Nationale 367 rue de Tessy 50000 SAINT-LO;nicolas ache;il y a un an;1;
2;Gendarmerie Nationale 367 rue de Tessy 50000 SAINT-LO;Num�ro 4;il y a 2 ans;1;Bon boulot pour la protection mais soyez pedagogues pas des cadors patrouille croise lors d une promenade
1;Gendarmerie Nationale 6 rue du colonel Louis Dartois 58000 NEVERS;Virginie Buffet;il y a 10 mois;5;
2;Gendarmerie Nationale 6 rue du colonel Louis Dartois 58000 NEVERS;Sylvain Moreau;il y a un an;5;
3;Gendarmerie Nationale 6 rue du colonel Louis Dartois 58000 NEVERS;Renaud Carayon;il y a un an;1;Si seulement ils faisaient deja leur boulot mais comme ils ont peur d aller dans les pseudos cites nivernaises tel que les bords de Loire Heureusement qu ils ne sont pas en region parisienne les pyramides ou les tarterets c est autre chose 
4;Gendarmerie Nationale 6 rue du colonel Louis Dartois 58000 NEVERS;viviane Wuarnier;il y a 2 ans;5;
5;Gendarmerie Nationale 6 rue du colonel Louis Dartois 58000 NEVERS;?????? ??????;il y a 2 ans;1;
6;Gendarmerie Nationale 6 rue du colonel Louis Dartois 58000 NEVERS;Jerome Lanri;il y a 2 ans;5;
1;Gendarmerie Nationale 2 rue du g�n�ral Sarrail 76000 ROUEN;Alexandre K. Arelus;il y a 2 ans;5;
1;Gendarmerie Nationale 107 rue d�Elbeuf 80000 AMIENS;Mohamed Hammani;il y a un an;5;
2;Gendarmerie Nationale 8 rue Logerot 86000 POITIERS;Marius Gillette;il y a 2 ans;1;
